City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,new norfolk,-42.7826,147.0587,15.72,67,100,2.24,AU,1675482823
139,urumqi,43.801,87.6005,-8.47,68,28,1.0,CN,1675482001
140,vawkavysk,53.1561,24.4513,-2.78,79,100,3.59,BY,1675482883
141,wewak,-3.5534,143.6268,29.99,63,72,3.9,PG,1675482340
142,liverpool,53.4106,-2.9779,9.34,84,100,2.06,GB,1675482883
143,cidreira,-30.1811,-50.2056,22.14,92,100,3.39,BR,1675482835
144,avera,33.194,-82.5271,5.73,51,0,3.79,US,1675482292
145,lamar,33.6668,-95.5836,4.64,87,0,1.54,US,1675482884
146,chuy,-33.6971,-53.4616,19.18,90,79,3.79,UY,1675482848
147,saquena,-4.6667,-73.5167,21.73,92,42,1.37,PE,1675482884
148,proletarsk,46.7031,41.7192,2.88,79,99,6.53,RU,1675482885
149,avarua,-21.2078,-159.775,29.03,79,47,7.2,CK,1675482865
150,umtata,-31.5889,28.7844,18.31,94,75,2.57,ZA,1675482885
151,ahipara,-35.1667,173.1667,21.8,80,100,3.84,NZ,1675482885
152,shingu,33.7333,135.9833,13.39,38,100,3.14,JP,1675482335
153,bredasdorp,-34.5322,20.0403,17.58,93,10,2.72,ZA,1675482821
154,alyangula,-13.8483,136.4192,30.73,58,46,2.04,AU,1675482886
155,laguna,38.421,-121.4238,12.23,89,100,2.06,US,1675482886
156,nadym,65.5333,72.5167,-12.34,95,93,4.09,RU,1675482887
157,brenham,30.1669,-96.3977,7.24,66,0,0.0,US,1675482887
158,pryazha,61.6926,33.6216,-4.43,94,100,3.47,RU,1675482888
159,nedjo,9.5046,35.5019,14.68,41,100,1.02,ET,1675482888
160,erzincan,39.75,39.5,-12.39,92,40,0.0,TR,1675482889
161,jimo,36.3897,120.4622,5.88,39,0,2.0,CN,1675482889
162,noyabrsk,63.1994,75.4507,-15.56,96,63,4.15,RU,1675482889
163,luanda,-8.8368,13.2343,25.84,81,100,2.78,AO,1675482072
164,kavieng,-2.5744,150.7967,28.07,74,100,2.55,PG,1675482831
165,komsomolskiy,40.4272,71.7189,6.4,75,40,3.09,UZ,1675482317
166,imeni poliny osipenko,52.4201,136.4853,-22.46,90,100,2.53,RU,1675482890
167,waipawa,-41.4122,175.5153,25.14,58,1,3.24,NZ,1675482890
168,uruzgan,32.8333,66.0,3.56,72,8,2.87,AF,1675482891
169,milkovo,54.7167,158.6167,-14.02,89,100,0.34,RU,1675482891
170,clyde river,70.4692,-68.5914,-30.87,62,0,2.57,CA,1675482861
171,beloha,-25.1667,45.05,23.63,79,86,4.15,MG,1675482892
